"Id","Label","clade","size","BGCtype","complete","MAGhit","MAG","GCFnum"
"MO_074.c_318.region001","MO_074_c318_001","site3","1","bacteriocin","YES","YES","MO_074.bin.2",1791
"MO_074.c_328.region001","NA.","NA.","NA.","acyl_amino_acids","NO","YES","MO_074.bin.6",521
"MO_074.c_3306.region001","MO_074_c3306_001","site3","1","NRPS","NO","NO","NA.",2669
"MO_074.c_3312.region001","MO_074_c3312_001","site3","1","NRPS","NO","YES","MO_074.bin.26",1500
"MO_074.c_3367.region001","NA.","NA.","NA.","NRPS-like","NO","YES","MO_074.bin.26",524
"MO_074.c_3408.region001","NA.","NA.","NA.","NRPS","NO","YES","MO_074.bin.13",525
"MO_074.c_3433.region001","MO_074_c3433_001","site3","1","terpene","NO","YES","MO_074.bin.13",526
"MO_074.c_3494.region001","NA.","NA.","NA.","terpene","NO","YES","MO_074.bin.14",527
"MO_074.c_3619.region001","MO_074_c3619_001","site3","1","T3PKS","NO","YES","MO_074.bin.20",373
"MO_074.c_3636.region001","NA.","NA.","NA.","NRPS","NO","YES","MO_074.bin.12",529
"MO_074.c_3737.region001","MO_074_c3737_001","site3","1","T1PKS","NO","YES","MO_074.bin.26",3092
"MO_074.c_3759.region001","NA.","NA.","NA.","NRPS","NO","YES","MO_074.bin.5",531
"MO_074.c_378.region001","MO_074_c378_001","site3","1","phosphonate","NO","YES","MO_074.bin.3",904
"MO_074.c_3860.region001","MO_074_c3860_001","site3","1","NRPS","NO","YES","MO_074.bin.26",2669
"MO_074.c_3889.region001","MO_074_c3889_001","site3","1","ectoine","NO","YES","MO_074.bin.7",665
"MO_074.c_3998.region001","MO_074_c3998_001","site3","1","bacteriocin","NO","YES","MO_074.bin.13",311
"MO_074.c_4001.region001","NA.","NA.","NA.","NRPS-like","NO","YES","MO_074.bin.15",536
"MO_074.c_4027.region001","NA.","NA.","NA.","NRPS-like","NO","NO","NA.",537
"MO_074.c_4050.region001","MO_074_c4050_001","site3","1","NRPS","NO","YES","MO_074.bin.26",3080
"MO_074.c_4070.region001","NA.","NA.","NA.","lanthipeptide","NO","YES","MO_074.bin.26",539
"MO_074.c_4247.region001","MO_074_c4247_001","site3","1","NRPS","NO","YES","MO_074.bin.26",3080
"MO_074.c_4257.region001","MO_074_c4257_001","site3","1","NRPS","NO","YES","MO_074.bin.26",3080
"MO_074.c_4331.region001","MO_074_c4331_001","site3","1","NRPS","NO","YES","MO_074.bin.7",1617
"MO_074.c_4380.region001","NA.","NA.","NA.","T3PKS","NO","YES","MO_074.bin.4",543
"MO_074.c_4392.region001","NA.","NA.","NA.","NRPS","NO","YES","MO_074.bin.8",544
"MO_074.c_4429.region001","MO_074_c4429_001","site3","1","T1PKS","NO","NO","NA.",1056
"MO_074.c_4435.region001","MO_074_c4435_001","site3","1","NRPS-like","NO","YES","MO_074.bin.3",546
"MO_074.c_4461.region001","NA.","NA.","NA.","NRPS-like","NO","YES","MO_074.bin.13",547
"MO_074.c_4511.region001","MO_074_c4511_001","site3","1","transAT-PKS","NO","YES","MO_074.bin.26",548
"MO_074.c_460.region001","MO_074_c460_001","site3","1","NRPS-like","NO","YES","MO_074.bin.11",2255
"MO_074.c_4613.region001","MO_074_c4613_001","site3","1","NRPS","NO","YES","MO_074.bin.26",2669
"MO_074.c_4676.region001","NA.","NA.","NA.","NRPS-like","NO","YES","MO_074.bin.13",551
"MO_074.c_469.region001","NA.","NA.","NA.","NRPS-like","NO","YES","MO_074.bin.3",552
"MO_074.c_4693.region001","NA.","NA.","NA.","NRPS-like","NO","YES","MO_074.bin.15",553
"MO_074.c_471.region001","NA.","NA.","NA.","hserlactone","YES","YES","MO_074.bin.8",554
"MO_074.c_4842.region001","MO_074_c4842_001","site3","1","terpene","NO","YES","MO_074.bin.4",1420
"MO_074.c_4845.region001","MO_074_c4845_001","site3","1","NRPS","NO","YES","MO_074.bin.26",1885
"MO_074.c_4933.region001","MO_074_c4933_001","site3","1","terpene","NO","YES","MO_074.bin.27",966
"MO_074.c_495.region001","NA.","NA.","NA.","NRPS","NO","YES","MO_074.bin.26",558
"MO_074.c_4982.region001","NA.","NA.","NA.","bacteriocin","NO","YES","MO_074.bin.1",559
"MO_074.c_514.region001","MO_074_c514_001","site3","1","betalactone","NO","YES","MO_074.bin.1",1471
"MO_074.c_5165.region001","NA.","NA.","NA.","terpene","NO","YES","MO_074.bin.13",561
"MO_074.c_5244.region001","MO_074_c5244_001","site3","1","NRPS","NO","YES","MO_074.bin.26",562
"MO_074.c_5391.region001","MO_074_c5391_001","site3","1","NRPS","NO","NO","NA.",3092
"MO_074.c_5417.region001","MO_074_c5417_001","site3","1","hglE-KS","NO","YES","MO_074.bin.18",975
"MO_074.c_5418.region001","MO_074_c5418_001","site3","1","NRPS","NO","YES","MO_074.bin.26",2669
"MO_074.c_550.region001","NA.","NA.","NA.","other","NO","NO","NA.",566
"MO_074.c_5537.region001","MO_074_c5537_001","site3","1","arylpolyene","NO","NO","NA.",1404
"MO_074.c_5571.region001","NA.","NA.","NA.","T1PKS","NO","YES","MO_074.bin.12",568
"MO_074.c_5576.region001","MO_074_c5576_001","site3","1","bacteriocin","NO","NO","NA.",569
"MO_074.c_57.region001","MO_074_c57_001","site3","1","terpene","YES","YES","MO_074.bin.17",1447
"MO_074.c_5776.region001","MO_074_c5776_001","site3","1","terpene","NO","YES","MO_074.bin.7",966
"MO_074.c_582.region001","NA.","NA.","NA.","NRPS","NO","YES","MO_074.bin.8",572
"MO_074.c_5859.region001","NA.","NA.","NA.","NRPS","NO","YES","MO_074.bin.26",573
"MO_074.c_5923.region001","NA.","NA.","NA.","lanthipeptide","NO","YES","MO_074.bin.5",574
"MO_074.c_598.region001","NA.","NA.","NA.","T3PKS","NO","YES","MO_074.bin.26",575
"MO_074.c_60.region001","MO_074_c60_001","site3","1","NRPS","YES","YES","MO_074.bin.17",799
"MO_074.c_6030.region001","NA.","NA.","NA.","terpene","NO","YES","MO_074.bin.14",577
"MO_074.c_607.region001","MO_074_c607_001","site3","1","terpene","YES","YES","MO_074.bin.6",2786
"MO_074.c_6159.region001","MO_074_c6159_001","site3","1","NRPS","NO","NO","NA.",3080
"MO_074.c_617.region001","NA.","NA.","NA.","siderophore","NO","YES","MO_074.bin.3",580
"MO_074.c_6192.region001","NA.","NA.","NA.","NRPS-like","NO","YES","MO_074.bin.26",581
"MO_074.c_624.region001","MO_074_c624_001","site3","1","terpene","NO","YES","MO_074.bin.1",1950
"MO_074.c_6319.region001","MO_074_c6319_001","site3","1","NRPS","NO","YES","MO_074.bin.26",1500
"MO_074.c_6363.region001","MO_074_c6363_001","site3","1","hserlactone","NO","YES","MO_074.bin.13",584
"MO_074.c_6379.region001","NA.","NA.","NA.","other","NO","YES","MO_074.bin.15",585
"MO_074.c_6478.region001","MO_074_c6478_001","site3","1","NRPS","NO","YES","MO_074.bin.26",562
"MO_074.c_653.region001","MO_074_c653_001","site3","1","terpene","NO","YES","MO_074.bin.8",904
"MO_074.c_6551.region001","NA.","NA.","NA.","hserlactone","NO","YES","MO_074.bin.4",588
"MO_074.c_663.region001","NA.","NA.","NA.","bacteriocin","NO","YES","MO_074.bin.1",589
"MO_074.c_665.region001","NA.","NA.","NA.","NRPS","NO","YES","MO_074.bin.26",590
"MO_074.c_6730.region001","MO_074_c6730_001","site3","1","T1PKS","NO","YES","MO_074.bin.26",3092
"MO_074.c_6740.region001","NA.","NA.","NA.","phosphonate","NO","YES","MO_074.bin.4",592
"MO_074.c_6777.region001","NA.","NA.","NA.","terpene","NO","YES","MO_074.bin.5",593
"MO_074.c_679.region001","NA.","NA.","NA.","T3PKS","NO","YES","MO_074.bin.3",594
"MO_074.c_6801.region001","NA.","NA.","NA.","T1PKS","NO","YES","MO_074.bin.24",595
"MO_074.c_6853.region001","MO_074_c6853_001","site3","1","terpene","NO","YES","MO_074.bin.13",269
"MO_074.c_6854.region001","MO_074_c6854_001","site3","1","NRPS","NO","NO","NA.",1932
"MO_074.c_6919.region001","MO_074_c6919_001","site3","1","T1PKS","NO","YES","MO_074.bin.26",3092
"MO_074.c_699.region001","MO_074_c699_001","site3","1","TfuA-related","YES","YES","MO_074.bin.17",765
"MO_074.c_6993.region001","NA.","NA.","NA.","NRPS-like","NO","YES","MO_074.bin.14",600
"MO_074.c_7004.region001","MO_074_c7004_001","site3","1","NRPS","NO","NO","NA.",1500
"MO_074.c_702.region001","NA.","NA.","NA.","terpene","NO","YES","MO_074.bin.3",602
"MO_074.c_7117.region001","MO_074_c7117_001","site3","1","terpene","NO","YES","MO_074.bin.20",1077
"MO_074.c_7350.region001","MO_074_c7350_001","site3","1","bacteriocin","NO","YES","MO_074.bin.11",1907
"MO_074.c_7465.region001","NA.","NA.","NA.","NRPS-like","NO","YES","MO_074.bin.14",605
"MO_074.c_7478.region001","MO_074_c7478_001","site3","1","cyanobactin","NO","NO","NA.",606
"MO_074.c_7498.region001","NA.","NA.","NA.","siderophore","NO","YES","MO_074.bin.6",607
"MO_074.c_801.region001","MO_074_c801_001","site3","1","betalactone","NO","YES","MO_074.bin.18",2394
"MO_074.c_82.region001","MO_074_c82_001","site3","1","terpene","YES","YES","MO_074.bin.17",1477
"MO_074.c_85.region001","MO_074_c85_001","site3","1","NRPS-like","NO","YES","MO_074.bin.23",627
"MO_074.c_850.region001","NA.","NA.","NA.","terpene","NO","YES","MO_074.bin.26",611
"MO_074.c_853.region001","MO_074_c853_001","site3","1","bacteriocin","NO","YES","MO_074.bin.15",612
"MO_074.c_865.region001","MO_074_c865_001","site3","1","bacteriocin","NO","YES","MO_074.bin.25",188
"MO_074.c_97.region001","NA.","NA.","NA.","bacteriocin","YES","YES","MO_074.bin.3",614
"MO_074.c_990.region001","NA.","NA.","NA.","T1PKS","NO","YES","MO_074.bin.24",615
"MO_077.c_1011.region001","MO_077_c1011_001","site3","1","bacteriocin","NO","YES","MO_077.bin.30",311
"MO_077.c_1026.region001","MO_077_c1026_001","site3","1","T1PKS","NO","YES","MO_077.bin.22",1049
"MO_077.c_1222.region001","MO_077_c1222_001","site3","1","terpene","NO","YES","MO_077.bin.13",763
"MO_077.c_1247.region001","MO_077_c1247_001","site3","1","NRPS-like","NO","YES","MO_077.bin.16",766
"MO_077.c_1483.region001","MO_077_c1483_001","site3","1","bacteriocin","NO","YES","MO_077.bin.24",446
"MO_077.c_1485.region001","MO_077_c1485_001","site3","1","terpene","NO","YES","MO_077.bin.14",215
"MO_077.c_1513.region001","MO_077_c1513_001","site3","1","NRPS-like","NO","YES","MO_077.bin.1",350
"MO_077.c_158.region001","MO_077_c158_001","site3","1","terpene","NO","YES","MO_077.bin.7",1420
"MO_077.c_1600.region001","MO_077_c1600_001","site3","1","bacteriocin","YES","YES","MO_077.bin.30",1791
"MO_077.c_1604.region001","MO_077_c1604_001","site3","1","terpene","NO","YES","MO_077.bin.22",1422
"MO_077.c_1605.region001","MO_077_c1605_001","site3","1","bacteriocin","NO","YES","MO_077.bin.9",63
"MO_077.c_1632.region001","MO_077_c1632_001","site3","1","NRPS-like","NO","YES","MO_077.bin.23",627
"MO_077.c_1705.region001","MO_077_c1705_001","site3","1","hglE-KS","NO","YES","MO_077.bin.22",1428
"MO_077.c_1737.region001","MO_077_c1737_001","site3","1","arylpolyene","NO","YES","MO_077.bin.13",629
"MO_077.c_1745.region001","MO_077_c1745_001","site3","1","terpene","NO","YES","MO_077.bin.13",452
"MO_077.c_1751.region001","MO_077_c1751_001","site3","1","hserlactone","NO","YES","MO_077.bin.14",215
"MO_077.c_176.region001","MO_077_c176_001","site3","1","terpene","NO","YES","MO_077.bin.7",632
"MO_077.c_1808.region001","MO_077_c1808_001","site3","1","terpene","NO","YES","MO_077.bin.30",1381
"MO_077.c_1903.region001","MO_077_c1903_001","site3","1","arylpolyene","NO","YES","MO_077.bin.27",634
"MO_077.c_200.region001","MO_077_c200_001","site3","1","terpene","NO","YES","MO_077.bin.13",1447
"MO_077.c_2009.region001","MO_077_c2009_001","site3","1","terpene","NO","YES","MO_077.bin.26",1341
"MO_077.c_201.region001","MO_077_c201_001","site3","1","bacteriocin","NO","YES","MO_077.bin.14",637
"MO_077.c_2208.region001","MO_077_c2208_001","site3","1","NRPS","NO","NO","NA.",1601
"MO_077.c_2226.region001","MO_077_c2226_001","site3","1","hserlactone","NO","YES","MO_077.bin.30",322
"MO_077.c_2241.region001","MO_077_c2241_001","site3","1","bacteriocin","NO","NO","NA.",221
"MO_077.c_2260.region001","NA.","NA.","NA.","NRPS-like","NO","YES","MO_077.bin.14",641
"MO_077.c_2374.region001","MO_077_c2374_001","site3","1","hserlactone","NO","YES","MO_077.bin.14",107
"MO_077.c_2417.region001","MO_077_c2417_001","site3","1","T1PKS","NO","YES","MO_077.bin.27",1656
"MO_077.c_2423.region001","MO_077_c2423_001","site3","1","NRPS","NO","YES","MO_077.bin.6",644
"MO_077.c_2435.region001","MO_077_c2435_001","site3","1","hserlactone","NO","YES","MO_077.bin.14",245
"MO_077.c_2546.region001","MO_077_c2546_001","site3","1","NRPS","NO","YES","MO_077.bin.17",794
"MO_077.c_2625.region001","MO_077_c2625_001","site3","1","T3PKS","NO","YES","MO_077.bin.16",348
"MO_077.c_2630.region001","MO_077_c2630_001","site3","1","NRPS-like","NO","YES","MO_077.bin.13",766
"MO_077.c_2777.region001","MO_077_c2777_001","site3","1","hglE-KS","NO","YES","MO_077.bin.17",2930
"MO_077.c_2818.region001","MO_077_c2818_001","site3","1","terpene","NO","YES","MO_077.bin.7",1420
"MO_077.c_2863.region001","MO_077_c2863_001","site3","1","siderophore","NO","YES","MO_077.bin.22",1399
"MO_077.c_2923.region001","MO_077_c2923_001","site3","1","thiopeptide","NO","NO","NA.",652
"MO_077.c_2925.region001","MO_077_c2925_001","site3","1","hglE-KS","NO","YES","MO_077.bin.15",1819
"MO_077.c_295.region001","MO_077_c295_001","site3","1","terpene","NO","YES","MO_077.bin.7",1523
"MO_077.c_3101.region001","NA.","NA.","NA.","terpene","NO","YES","MO_077.bin.6",655
"MO_077.c_3307.region001","MO_077_c3307_001","site3","1","TfuA-related","NO","YES","MO_077.bin.16",765
"MO_077.c_3380.region001","MO_077_c3380_001","site3","1","NRPS-like","NO","YES","MO_077.bin.1",1128
"MO_077.c_359.region001","MO_077_c359_001","site3","1","arylpolyene","NO","YES","MO_077.bin.1",2672
"MO_077.c_3635.region001","MO_077_c3635_001","site3","1","NRPS","NO","NO","NA.",794
"MO_077.c_3681.region001","MO_077_c3681_001","site3","1","bacteriocin","NO","YES","MO_077.bin.15",1478
"MO_077.c_3780.region001","MO_077_c3780_001","site3","1","terpene","NO","YES","MO_077.bin.23",1509
"MO_077.c_382.region001","MO_077_c382_001","site3","1","T1PKS","NO","YES","MO_077.bin.18",1416
"MO_077.c_396.region001","MO_077_c396_001","site3","1","NRPS","NO","YES","MO_077.bin.1",1905
"MO_077.c_4078.region001","MO_077_c4078_001","site3","1","terpene","NO","YES","MO_077.bin.9",1452
"MO_077.c_4169.region001","MO_077_c4169_001","site3","1","ectoine","NO","YES","MO_077.bin.20",665
"MO_077.c_4330.region001","MO_077_c4330_001","site3","1","NRPS","NO","YES","MO_077.bin.4",1885
"MO_077.c_434.region001","MO_077_c434_001","site3","1","terpene","YES","YES","MO_077.bin.24",2786
"MO_077.c_4410.region001","MO_077_c4410_001","site3","1","NRPS","NO","NO","NA.",794
"MO_077.c_4479.region001","MO_077_c4479_001","site3","1","terpene","NO","YES","MO_077.bin.20",1447
"MO_077.c_448.region001","MO_077_c448_001","site3","1","TfuA-related","NO","YES","MO_077.bin.16",868
"MO_077.c_450.region001","MO_077_c450_001","site3","1","terpene","NO","YES","MO_077.bin.16",1477
"MO_077.c_4526.region001","MO_077_c4526_001","site3","1","bacteriocin","NO","YES","MO_077.bin.1",1137
"MO_077.c_4603.region001","NA.","NA.","NA.","NRPS-like","NO","NO","NA.",673
"MO_077.c_462.region001","MO_077_c462_001","site3","1","bacteriocin","YES","YES","MO_077.bin.9",2942
"MO_077.c_4661.region001","MO_077_c4661_001","site3","1","NRPS","NO","NO","NA.",2030
"MO_077.c_4722.region001","MO_077_c4722_001","site3","1","bacteriocin","NO","YES","MO_077.bin.23",1907
"MO_077.c_4736.region001","MO_077_c4736_001","site3","1","NRPS","NO","NO","NA.",1139
"MO_077.c_4872.region001","MO_077_c4872_001","site3","1","bacteriocin","NO","YES","MO_077.bin.3",1478
"MO_077.c_490.region001","MO_077_c490_001","site3","1","phosphonate","NO","YES","MO_077.bin.24",191
"MO_077.c_4975.region001","MO_077_c4975_001","site3","1","T1PKS","NO","YES","MO_077.bin.25",1491
"MO_077.c_5050.region001","MO_077_c5050_001","site3","1","T1PKS","NO","YES","MO_077.bin.3",1043
"MO_077.c_5073.region001","MO_077_c5073_001","site3","1","hglE-KS","NO","YES","MO_077.bin.12",1819
"MO_077.c_5152.region001","MO_077_c5152_001","site3","1","hglE-KS","NO","YES","MO_077.bin.15",1330
"MO_077.c_519.region001","MO_077_c519_001","site3","1","terpene","YES","YES","MO_077.bin.18",1478
"MO_077.c_5252.region001","MO_077_c5252_001","site3","1","bacteriocin","NO","YES","MO_077.bin.28",1511
"MO_077.c_5342.region001","MO_077_c5342_001","site3","1","NRPS-like","NO","YES","MO_077.bin.26",410
"MO_077.c_5393.region001","MO_077_c5393_001","site3","1","T3PKS","NO","YES","MO_077.bin.19",687
"MO_077.c_5399.region001","MO_077_c5399_001","site3","1","hglE-KS","NO","YES","MO_077.bin.18",1819
"MO_077.c_5408.region001","MO_077_c5408_001","site3","1","NRPS","NO","YES","MO_077.bin.17",2671
"MO_077.c_5519.region001","MO_077_c5519_001","site3","1","TfuA-related","NO","YES","MO_077.bin.13",690
"MO_077.c_559.region001","MO_077_c559_001","site3","1","NRPS","NO","YES","MO_077.bin.7",1526
"MO_077.c_605.region001","MO_077_c605_001","site3","1","arylpolyene","NO","YES","MO_077.bin.7",2686
"MO_077.c_607.region001","MO_077_c607_001","site3","1","hglE-KS","NO","YES","MO_077.bin.9",1421
"MO_077.c_633.region001","MO_077_c633_001","site3","1","hglE-KS","NO","YES","MO_077.bin.9",2873
"MO_077.c_639.region001","MO_077_c639_001","site3","1","NRPS-like","NO","YES","MO_077.bin.7",342
"MO_077.c_676.region001","MO_077_c676_001","site3","1","terpene","NO","YES","MO_077.bin.16",452
"MO_077.c_685.region001","MO_077_c685_001","site3","1","terpene","NO","YES","MO_077.bin.14",1246
"MO_077.c_687.region001","MO_077_c687_001","site3","1","NRPS-like","NO","YES","MO_077.bin.14",698
"MO_077.c_6927.region001","MO_077_c6927_001","site3","1","T1PKS","NO","YES","MO_077.bin.15",1484
"MO_077.c_7138.region001","MO_077_c7138_001","site3","1","TfuA-related","NO","YES","MO_077.bin.6",868
"MO_077.c_7153.region001","MO_077_c7153_001","site3","1","NAGGN","NO","YES","MO_077.bin.11",1469
"MO_077.c_720.region001","NA.","NA.","NA.","NRPS-like","NO","YES","MO_077.bin.30",702
"MO_077.c_7389.region001","MO_077_c7389_001","site3","1","terpene","NO","YES","MO_077.bin.27",1911
"MO_077.c_748.region001","NA.","NA.","NA.","NRPS-like","NO","YES","MO_077.bin.30",704
"MO_077.c_78.region001","MO_077_c78_001","site3","1","terpene","NO","NO","NA.",1504
"MO_077.c_7923.region001","MO_077_c7923_001","site3","1","bacteriocin","NO","NO","NA.",970
"MO_077.c_7965.region001","MO_077_c7965_001","site3","1","T1PKS","NO","NO","NA.",3133
"MO_077.c_825.region001","MO_077_c825_001","site3","1","bacteriocin","NO","YES","MO_077.bin.26",1332
"MO_077.c_8500.region001","MO_077_c8500_001","site3","1","terpene","NO","YES","MO_077.bin.6",386
"MO_077.c_8609.region001","MO_077_c8609_001","site3","1","T1PKS","NO","YES","MO_077.bin.19",814
"MO_077.c_8656.region001","MO_077_c8656_001","site3","1","resorcinol","NO","YES","MO_077.bin.16",1904
"MO_077.c_8885.region001","MO_077_c8885_001","site3","1","terpene","NO","YES","MO_077.bin.27",89
"MO_077.c_8938.region001","MO_077_c8938_001","site3","1","terpene","NO","YES","MO_077.bin.26",1499
"MO_077.c_8978.region001","MO_077_c8978_001","site3","1","terpene","NO","YES","MO_077.bin.30",1341
"MO_082.c_100.region001","MO_082_c100_001","site3","1","terpene","NO","YES","MO_082.bin.32",452
"MO_082.c_1011.region001","MO_082_c1011_001","site3","1","T1PKS","NO","NO","NA.",1056
"MO_082.c_1019.region001","MO_082_c1019_001","site3","1","bacteriocin","NO","YES","MO_082.bin.9",63
"MO_082.c_107.region001","MO_082_c107_001","site3","1","T3PKS","YES","YES","MO_082.bin.26",687
"MO_082.c_1088.region001","MO_082_c1088_001","site3","1","siderophore","NO","YES","MO_082.bin.21",1399
"MO_082.c_1166.region001","MO_082_c1166_001","site3","1","T1PKS","NO","YES","MO_082.bin.21",1049
"MO_082.c_1179.region001","MO_082_c1179_001","site3","1","terpene","NO","YES","MO_082.bin.26",904
"MO_082.c_121.region001","MO_082_c121_001","site3","1","terpene","NO","YES","MO_082.bin.28",632
"MO_082.c_1323.region001","MO_082_c1323_001","site3","1","terpene","NO","YES","MO_082.bin.25",1499
"MO_082.c_1367.region001","MO_082_c1367_001","site3","1","resorcinol","NO","YES","MO_082.bin.20",363
"MO_082.c_1385.region001","NA.","NA.","NA.","NRPS","NO","YES","MO_082.bin.18",725
"MO_082.c_1444.region001","MO_082_c1444_001","site3","1","terpene","NO","YES","MO_082.bin.25",1341
"MO_082.c_1516.region001","MO_082_c1516_001","site3","1","NRPS-like","NO","YES","MO_082.bin.28",342
"MO_082.c_1567.region001","MO_082_c1567_001","site3","1","TfuA-related","NO","YES","MO_082.bin.28",2647
"MO_082.c_1581.region001","MO_082_c1581_001","site3","1","terpene","NO","YES","MO_082.bin.9",1452
"MO_082.c_1596.region001","MO_082_c1596_001","site3","1","NRPS","NO","NO","NA.",1456
"MO_082.c_1722.region001","MO_082_c1722_001","site3","1","terpene","NO","YES","MO_082.bin.33",763
"MO_082.c_1732.region001","MO_082_c1732_001","site3","1","NRPS","NO","YES","MO_082.bin.20",1456
"MO_082.c_1810.region001","MO_082_c1810_001","site3","1","hglE-KS","NO","YES","MO_082.bin.13",1819
"MO_082.c_1825.region001","MO_082_c1825_001","site3","1","acyl_amino_acids","NO","YES","MO_082.bin.21",734
"MO_082.c_1941.region001","MO_082_c1941_001","site3","1","TfuA-related","NO","YES","MO_082.bin.33",765
"MO_082.c_1987.region001","MO_082_c1987_001","site3","1","terpene","NO","NO","NA.",736
"MO_082.c_2063.region001","MO_082_c2063_001","site3","1","terpene","NO","YES","MO_082.bin.18",1911
"MO_082.c_2119.region001","MO_082_c2119_001","site3","1","bacteriocin","NO","YES","MO_082.bin.25",1332
"MO_082.c_2228.region001","MO_082_c2228_001","site3","1","NRPS-like","NO","YES","MO_082.bin.7",849
"MO_082.c_2235.region001","MO_082_c2235_001","site3","1","bacteriocin","NO","YES","MO_082.bin.25",1466
"MO_082.c_2392.region001","MO_082_c2392_001","site3","1","NRPS-like","NO","YES","MO_082.bin.25",1451
"MO_082.c_2429.region001","NA.","NA.","NA.","bacteriocin","NO","YES","MO_082.bin.26",742
"MO_082.c_2430.region001","MO_082_c2430_001","site3","1","terpene","NO","YES","MO_082.bin.22",1478
"MO_082.c_2470.region001","MO_082_c2470_001","site3","1","arylpolyene","NO","YES","MO_082.bin.22",1043
"MO_082.c_25.region001","MO_082_c25_001","site3","1","terpene","YES","YES","MO_082.bin.26",1092
"MO_082.c_2558.region001","MO_082_c2558_001","site3","1","T1PKS","NO","YES","MO_082.bin.27",1065
"MO_082.c_261.region001","MO_082_c261_001","site3","1","T3PKS","NO","YES","MO_082.bin.33",348
"MO_082.c_2649.region001","NA.","NA.","NA.","bacteriocin","NO","YES","MO_082.bin.18",748
"MO_082.c_2685.region001","NA.","NA.","NA.","terpene","NO","YES","MO_082.bin.27",749
"MO_082.c_2748.region001","MO_082_c2748_001","site3","1","T3PKS","NO","YES","MO_082.bin.26",750
"MO_082.c_278.region001","NA.","NA.","NA.","bacteriocin","YES","YES","MO_082.bin.18",751
"MO_082.c_2808.region001","MO_082_c2808_001","site3","1","terpene","NO","YES","MO_082.bin.27",1440
"MO_082.c_2860.region001","MO_082_c2860_001","site3","1","ladderane","NO","YES","MO_082.bin.30",795
"MO_082.c_2886.region001","MO_082_c2886_001","site3","1","terpene","NO","YES","MO_082.bin.20",1420
"MO_082.c_2947.region001","MO_082_c2947_001","site3","1","terpene","NO","YES","MO_082.bin.25",755
"MO_082.c_2973.region001","MO_082_c2973_001","site3","1","bacteriocin","NO","YES","MO_082.bin.31",756
"MO_082.c_326.region001","MO_082_c326_001","site3","1","NRPS-like","NO","YES","MO_082.bin.20",1456
"MO_082.c_3310.region001","MO_082_c3310_001","site3","1","terpene","NO","YES","MO_082.bin.24",887
"MO_082.c_3345.region001","MO_082_c3345_001","site3","1","NRPS-like","NO","YES","MO_082.bin.20",1337
"MO_082.c_335.region001","MO_082_c335_001","site3","1","phosphonate","NO","YES","MO_082.bin.16",191
"MO_082.c_3358.region001","NA.","NA.","NA.","siderophore","NO","YES","MO_082.bin.35",761
"MO_082.c_348.region001","MO_082_c348_001","site3","1","terpene","NO","YES","MO_082.bin.18",887
"MO_082.c_354.region001","MO_082_c354_001","site3","1","terpene","NO","YES","MO_082.bin.32",763
"MO_082.c_365.region001","NA.","NA.","NA.","NRPS","NO","YES","MO_082.bin.18",764
"MO_082.c_3769.region001","MO_082_c3769_001","site3","1","TfuA-related","NO","YES","MO_082.bin.32",765
"MO_082.c_392.region001","MO_082_c392_001","site3","1","NRPS-like","NO","YES","MO_082.bin.32",766
"MO_082.c_3929.region001","MO_082_c3929_001","site3","1","terpene","NO","YES","MO_082.bin.11",904
"MO_082.c_3978.region001","MO_082_c3978_001","site3","1","NRPS-like","NO","YES","MO_082.bin.4",1451
"MO_082.c_3989.region001","MO_082_c3989_001","site3","1","terpene","NO","YES","MO_082.bin.29",1420
"MO_082.c_4.region001","MO_082_c4_001","site3","1","arylpolyene","YES","YES","MO_082.bin.26",634
"MO_082.c_402.region001","MO_082_c402_001","site3","1","T1PKS","NO","YES","MO_082.bin.26",1656
"MO_082.c_4127.region001","MO_082_c4127_001","site3","1","T1PKS","NO","YES","MO_082.bin.21",1448
"MO_082.c_4168.region001","MO_082_c4168_001","site3","1","terpene","NO","NO","NA.",1523
"MO_082.c_4300.region001","MO_082_c4300_001","site3","1","NRPS-like","NO","YES","MO_082.bin.6",774
"MO_082.c_4322.region001","NA.","NA.","NA.","betalactone","NO","NO","NA.",775
"MO_082.c_4350.region001","MO_082_c4350_001","site3","1","NRPS-like","NO","YES","MO_082.bin.14",855
"MO_082.c_4433.region001","MO_082_c4433_001","site3","1","NRPS","NO","YES","MO_082.bin.11",1145
"MO_082.c_458.region001","MO_082_c458_001","site3","1","hglE-KS","NO","YES","MO_082.bin.22",1330
"MO_082.c_480.region001","MO_082_c480_001","site3","1","NRPS","NO","YES","MO_082.bin.30",851
"MO_082.c_484.region001","MO_082_c484_001","site3","1","terpene","NO","YES","MO_082.bin.20",1523
"MO_082.c_5009.region001","MO_082_c5009_001","site3","1","hglE-KS","NO","YES","MO_082.bin.17",1389
"MO_082.c_510.region001","MO_082_c510_001","site3","1","terpene","NO","YES","MO_082.bin.20",1420
"MO_082.c_5132.region001","MO_082_c5132_001","site3","1","T1PKS","NO","NO","NA.",2992
"MO_082.c_515.region001","MO_082_c515_001","site3","1","TfuA-related","NO","YES","MO_082.bin.33",868
"MO_082.c_5192.region001","MO_082_c5192_001","site3","1","ladderane","NO","YES","MO_082.bin.30",795
"MO_082.c_52.region001","MO_082_c52_001","site3","1","terpene","NO","YES","MO_082.bin.26",1429
